Month,Series ID: NG.N9010US2.M Million Cubic Feet
Aug-11,2370440
Sep-11,2358169
Oct-11,2502387
Nov-11,2475947
Dec-11,2543747
Jan-12,2571350
Feb-12,2360061
Mar-12,2524260
Apr-12,2417498
May-12,2490707
Jun-12,2376776
Jul-12,2465064
Aug-12,2373954
Sep-12,2410375
Oct-12,2557140
Nov-12,2471365
Dec-12,2523763
Jan-13,2512031
Feb-13,2269907
Mar-13,2504000
Apr-13,2446307
May-13,2488677
Jun-13,2385386
Jul-13,2512441
Aug-13,2495089
Sep-13,2414405
Oct-13,2513172
Nov-13,2455169
Dec-13,2525967
Jan-14,2580019
Feb-14,2356978
Mar-14,2623914
Apr-14,2583873
May-14,2633253
Jun-14,2560033
Jul-14,2629156
Aug-14,2644937
Sep-14,2625503
Oct-14,2735719
Nov-14,2661917
Dec-14,2770080
Jan-15,2790052
Feb-15,2520509
Mar-15,2827524
Apr-15,2758730
May-15,2790849
Jun-15,2660158
Jul-15,2756222
Aug-15,2744748
Sep-15,2721449
Oct-15,2806078
Nov-15,2726220
Dec-15,2812110
Jan-16,2823104
Feb-16,2653842
Mar-16,2824983
Apr-16,2678610
May-16,2767844
Jun-16,2628164
Jul-16,2721210
Aug-16,2722631
Sep-16,2626213
Oct-16,2720187
Nov-16,2678247
Dec-16,2746543
Jan-17,2748684
Feb-17,2504926
Mar-17,2811662
Apr-17,2703018
May-17,2787032
Jun-17,2693285
Jul-17,2763649
Aug-17,2780821
Sep-17,2767345
Oct-17,2906765
Nov-17,2884127
Dec-17,3006062
Jan-18,2959321
Feb-18,2723563
Mar-18,3048056
Apr-18,2959887
May-18,3081754
Jun-18,2954943
Jul-18,3108098
Aug-18,3180213
Sep-18,3134786
Oct-18,3272502
Nov-18,3222879
